number,incident_state,reassignment_count,reopen_count,made_sla,caller_id,opened_by,opened_at,contact_type,location,category,subcategory,u_symptom,impact,urgency,priority,assignment_group,assigned_to,knowledge,resolved_by,resolved_at
INC0000062,New,0,0,True,Caller 3765,Opened by  180,2016-02-29 06:58:00,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,1 - High,2 - Medium,2 - High,Group 70,Unknown,True,Resolved by 62,2016-02-29 15:51:00
INC0000062,New,1,0,True,Caller 3765,Opened by  180,2016-02-29 06:58:00,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,1 - High,2 - Medium,2 - High,Group 23,Unknown,True,Resolved by 62,2016-02-29 15:51:00
INC0000062,Resolved,1,0,True,Caller 3765,Opened by  180,2016-02-29 06:58:00,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,1 - High,2 - Medium,2 - High,Group 23,Unknown,True,Resolved by 62,2016-02-29 15:51:00
INC0000062,Closed,1,0,False,Caller 3765,Opened by  180,2016-02-29 06:58:00,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,1 - High,2 - Medium,2 - High,Group 23,Unknown,True,Resolved by 62,2016-02-29 15:51:00
INC0000083,New,0,0,True,Caller 4866,Opened by  131,2016-02-29 08:39:00,Phone,Location 93,Category 24,Subcategory 164,Symptom 583,3 - Low,3 - Low,3 - Moderate,Group 70,Unknown,True,Resolved by 62,2016-02-29 16:05:00
INC0000083,New,1,0,True,Caller 4866,Opened by  131,2016-02-29 08:39:00,Phone,Location 93,Category 24,Subcategory 164,Symptom 583,3 - Low,3 - Low,3 - Moderate,Group 23,Unknown,True,Resolved by 62,2016-02-29 16:05:00
INC0000083,Resolved,1,0,True,Caller 4866,Opened by  131,2016-02-29 08:39:00,Phone,Location 93,Category 24,Subcategory 164,Symptom 583,3 - Low,3 - Low,3 - Moderate,Group 23,Unknown,True,Resolved by 62,2016-02-29 16:05:00
INC0000083,Closed,1,0,True,Caller 4866,Opened by  131,2016-02-29 08:39:00,Phone,Location 93,Category 24,Subcategory 164,Symptom 583,3 - Low,3 - Low,3 - Moderate,Group 23,Unknown,True,Resolved by 62,2016-02-29 16:05:00
INC0000084,Active,0,0,True,Caller 3038,Opened by  433,2016-02-29 08:39:00,Phone,Location 204,Category 45,Subcategory 220,Symptom 253,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 158,2016-04-12 14:46:00
INC0000084,Awaiting User Info,0,0,True,Caller 3038,Opened by  433,2016-02-29 08:39:00,Phone,Location 204,Category 45,Subcategory 220,Symptom 253,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 158,2016-04-12 14:46:00
INC0000084,Resolved,0,0,True,Caller 3038,Opened by  433,2016-02-29 08:39:00,Phone,Location 204,Category 45,Subcategory 220,Symptom 253,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 158,2016-04-12 14:46:00
INC0000084,Closed,0,0,False,Caller 3038,Opened by  433,2016-02-29 08:39:00,Phone,Location 204,Category 45,Subcategory 220,Symptom 253,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 175,True,Resolved by 158,2016-04-12 14:46:00
INC0000089,Active,0,0,True,Caller 4907,Opened by  180,2016-02-29 08:51:00,Phone,Location 108,Category 42,Subcategory 106,Symptom 2,2 - Medium,3 - Low,3 - Moderate,Group 68,Resolver 97,True,Resolved by 197,2016-03-03 14:35:00
INC0000089,Active,1,0,True,Caller 4907,Opened by  180,2016-02-29 08:51:00,Phone,Location 108,Category 42,Subcategory 106,Symptom 2,2 - Medium,3 - Low,3 - Moderate,Group 70,Unknown,True,Resolved by 197,2016-03-03 14:35:00
INC0000089,Active,2,0,True,Caller 4907,Opened by  180,2016-02-29 08:51:00,Phone,Location 108,Category 45,Subcategory 191,Symptom 2,2 - Medium,3 - Low,3 - Moderate,Group 58,Resolver 76,True,Resolved by 197,2016-03-03 14:35:00
INC0000089,Active,3,0,True,Caller 4907,Opened by  180,2016-02-29 08:51:00,Phone,Location 108,Category 45,Subcategory 191,Symptom 2,2 - Medium,3 - Low,3 - Moderate,Group 33,Unknown,True,Resolved by 197,2016-03-03 14:35:00
INC0000089,Awaiting Problem,3,0,True,Caller 4907,Opened by  180,2016-02-29 08:51:00,Phone,Location 108,Category 45,Subcategory 94,Symptom 26,2 - Medium,3 - Low,3 - Moderate,Group 33,Resolver 216,True,Resolved by 197,2016-03-03 14:35:00
INC0000089,Awaiting Problem,3,0,True,Caller 4907,Opened by  180,2016-02-29 08:51:00,Phone,Location 108,Category 45,Subcategory 94,Symptom 470,2 - Medium,3 - Low,3 - Moderate,Group 33,Resolver 216,True,Resolved by 197,2016-03-03 14:35:00
INC0000089,Awaiting Problem,3,0,True,Caller 4907,Opened by  180,2016-02-29 08:51:00,Phone,Location 108,Category 45,Subcategory 94,Symptom 609,2 - Medium,3 - Low,3 - Moderate,Group 33,Resolver 216,True,Resolved by 197,2016-03-03 14:35:00
INC0000089,Resolved,3,0,True,Caller 4907,Opened by  180,2016-02-29 08:51:00,Phone,Location 108,Category 45,Subcategory 94,Symptom 609,2 - Medium,3 - Low,3 - Moderate,Group 33,Resolver 216,True,Resolved by 197,2016-03-03 14:35:00
INC0000089,Closed,3,0,True,Caller 4907,Opened by  180,2016-02-29 08:51:00,Phone,Location 108,Category 45,Subcategory 94,Symptom 609,2 - Medium,3 - Low,3 - Moderate,Group 33,Resolver 216,True,Resolved by 197,2016-03-03 14:35:00
INC0000094,Active,0,0,True,Caller 387,Opened by  433,2016-02-29 08:58:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 193,True,Resolved by 184,2016-03-10 10:45:00
INC0000094,Awaiting User Info,0,0,True,Caller 387,Opened by  433,2016-02-29 08:58:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 193,True,Resolved by 184,2016-03-10 10:45:00
INC0000094,Resolved,0,0,True,Caller 387,Opened by  433,2016-02-29 08:58:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 193,True,Resolved by 184,2016-03-10 10:45:00
INC0000094,Closed,0,0,False,Caller 387,Opened by  433,2016-02-29 08:58:00,Phone,Location 204,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,3 - Moderate,Group 66,Resolver 193,True,Resolved by 184,2016-03-10 10:45:00
INC0000101,New,0,0,True,Caller 1892,Opened by  180,2016-02-29 09:05:00,Phone,Location 143,Category 42,Subcategory 224,Symptom 560,2 - Medium,3 - Low,3 - Moderate,Group 65,Resolver 180,True,Resolved by 163,2016-02-29 11:00:00
INC0000101,New,0,0,True,Caller 1892,Opened by  180,2016-02-29 09:05:00,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,2 - Medium,3 - Low,3 - Moderate,Group 65,Resolver 180,True,Resolved by 163,2016-02-29 11:00:00
INC0000101,Active,0,0,True,Caller 1892,Opened by  180,2016-02-29 09:05:00,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,2 - Medium,3 - Low,3 - Moderate,Group 65,Resolver 180,True,Resolved by 163,2016-02-29 11:00:00
INC0000101,Resolved,0,0,True,Caller 1892,Opened by  180,2016-02-29 09:05:00,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,2 - Medium,3 - Low,3 - Moderate,Group 65,Resolver 180,True,Resolved by 163,2016-02-29 11:00:00
INC0000101,Closed,0,0,True,Caller 1892,Opened by  180,2016-02-29 09:05:00,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,2 - Medium,3 - Low,3 - Moderate,Group 65,Resolver 180,True,Resolved by 163,2016-02-29 11:00:00
INC0000104,New,0,0,True,Caller 5180,Opened by  180,2016-02-29 09:08:00,Phone,Location 51,Category 26,Subcategory 175,Symptom 311,1 - High,2 - Medium,2 - High,Group 70,Resolver 201,True,Resolved by 183,2016-03-01 11:55:00
INC0000104,Active,0,0,True,Caller 5180,Opened by  180,2016-02-29 09:08:00,Phone,Location 51,Category 26,Subcategory 175,Symptom 311,1 - High,2 - Medium,2 - High,Group 70,Resolver 201,True,Resolved by 183,2016-03-01 11:55:00
INC0000104,Active,0,0,True,Caller 5180,Opened by  180,2016-02-29 09:08:00,Phone,Location 51,Category 53,Subcategory 168,Symptom 116,1 - High,2 - Medium,2 - High,Group 70,Resolver 201,True,Resolved by 183,2016-03-01 11:55:00
INC0000104,Active,1,0,True,Caller 5180,Opened by  180,2016-02-29 09:08:00,Phone,Location 51,Category 53,Subcategory 168,Symptom 116,1 - High,2 - Medium,2 - High,Group 30,Resolver 201,True,Resolved by 183,2016-03-01 11:55:00
INC0000104,Resolved,1,0,True,Caller 5180,Opened by  180,2016-02-29 09:08:00,Phone,Location 51,Category 53,Subcategory 168,Symptom 116,1 - High,2 - Medium,2 - High,Group 30,Resolver 201,True,Resolved by 183,2016-03-01 11:55:00
INC0000104,Closed,1,0,False,Caller 5180,Opened by  180,2016-02-29 09:08:00,Phone,Location 51,Category 53,Subcategory 168,Symptom 116,1 - High,2 - Medium,2 - High,Group 30,Resolver 201,True,Resolved by 183,2016-03-01 11:55:00
INC0000134,New,0,0,True,Caller 2471,Opened by  501,2016-02-29 09:44:00,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,3 - Low,3 - Low,3 - Moderate,Group 72,Resolver 216,True,Resolved by 180,2016-03-03 08:21:00
INC0000134,New,1,0,True,Caller 2471,Opened by  501,2016-02-29 09:44:00,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,3 - Low,3 - Low,3 - Moderate,Group 73,Resolver 216,True,Resolved by 180,2016-03-03 08:21:00
INC0000134,Active,1,0,True,Caller 2471,Opened by  501,2016-02-29 09:44:00,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,3 - Low,3 - Low,3 - Moderate,Group 73,Resolver 198,True,Resolved by 180,2016-03-03 08:21:00
INC0000134,Resolved,1,0,True,Caller 2471,Opened by  501,2016-02-29 09:44:00,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,3 - Low,3 - Low,3 - Moderate,Group 73,Resolver 198,True,Resolved by 180,2016-03-03 08:21:00
INC0000134,Closed,1,0,True,Caller 2471,Opened by  501,2016-02-29 09:44:00,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,3 - Low,3 - Low,3 - Moderate,Group 73,Resolver 198,True,Resolved by 180,2016-03-03 08:21:00
INC0000161,New,0,0,True,Caller 3007,Opened by  180,2016-02-29 10:18:00,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,1 - High,2 - Medium,2 - High,Group 70,Resolver 31,True,Resolved by 30,2016-03-08 09:22:00
INC0000161,New,1,0,True,Caller 3007,Opened by  180,2016-02-29 10:18:00,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,1 - High,2 - Medium,2 - High,Group 25,Resolver 31,True,Resolved by 30,2016-03-08 09:22:00
INC0000161,New,2,0,True,Caller 3007,Opened by  180,2016-02-29 10:18:00,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,1 - High,2 - Medium,2 - High,Group 29,Resolver 31,True,Resolved by 30,2016-03-08 09:22:00
INC0000161,New,2,0,True,Caller 3007,Opened by  180,2016-02-29 10:18:00,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,3 - Low,3 - Low,3 - Moderate,Group 29,Resolver 31,True,Resolved by 30,2016-03-08 09:22:00
INC0000161,Awaiting User Info,2,0,True,Caller 3007,Opened by  180,2016-02-29 10:18:00,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,3 - Low,3 - Low,3 - Moderate,Group 29,Resolver 31,True,Resolved by 30,2016-03-08 09:22:00
INC0000161,Resolved,2,0,True,Caller 3007,Opened by  180,2016-02-29 10:18:00,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,3 - Low,3 - Low,3 - Moderate,Group 29,Resolver 31,True,Resolved by 30,2016-03-08 09:22:00
INC0000161,Closed,2,0,False,Caller 3007,Opened by  180,2016-02-29 10:18:00,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,3 - Low,3 - Low,3 - Moderate,Group 29,Resolver 31,True,Resolved by 30,2016-03-08 09:22:00
INC0000171,New,0,0,True,Caller 3007,Opened by  180,2016-02-29 10:33:00,Phone,Location 55,Category 24,Subcategory 164,Symptom 473,1 - High,2 - Medium,2 - High,Group 70,Unknown,True,Resolved by 133,2016-03-18 13:44:00
INC0000171,Awaiting User Info,0,0,True,Caller 3007,Opened by  180,2016-02-29 10:33:00,Phone,Location 55,Category 24,Subcategory 164,Symptom 473,1 - High,2 - Medium,2 - High,Group 70,Unknown,True,Resolved by 133,2016-03-18 13:44:00
INC0000171,Awaiting User Info,1,0,True,Caller 3007,Opened by  180,2016-02-29 10:33:00,Phone,Location 55,Category 24,Subcategory 164,Symptom 473,1 - High,2 - Medium,2 - High,Group 29,Unknown,True,Resolved by 133,2016-03-18 13:44:00
INC0000171,Awaiting User Info,2,0,True,Caller 3007,Opened by  180,2016-02-29 10:33:00,Phone,Location 55,Category 24,Subcategory 164,Symptom 473,1 - High,2 - Medium,2 - High,Group 23,Unknown,True,Resolved by 133,2016-03-18 13:44:00
INC0000171,Awaiting User Info,3,0,True,Caller 3007,Opened by  180,2016-02-29 10:33:00,Phone,Location 55,Category 24,Subcategory 164,Symptom 473,1 - High,2 - Medium,2 - High,Unknown,Unknown,True,Resolved by 133,2016-03-18 13:44:00
INC0000171,Resolved,4,0,True,Caller 3007,Opened by  180,2016-02-29 10:33:00,Phone,Location 55,Category 24,Subcategory 164,Symptom 473,1 - High,2 - Medium,2 - High,Group 70,Resolver 149,True,Resolved by 133,2016-03-18 13:44:00
INC0000171,Closed,4,0,False,Caller 3007,Opened by  180,2016-02-29 10:33:00,Phone,Location 55,Category 24,Subcategory 164,Symptom 473,1 - High,2 - Medium,2 - High,Group 70,Resolver 149,True,Resolved by 133,2016-03-18 13:44:00
INC0000173,New,0,0,True,Caller 64,Opened by  4,2016-02-29 10:36:00,Phone,Location 131,Category 55,Subcategory 120,Symptom 568,3 - Low,2 - Medium,3 - Moderate,Group 65,Resolver 4,True,Resolved by 3,2016-04-11 14:49:00
INC0000173,Active,1,0,True,Caller 64,Opened by  4,2016-02-29 10:36:00,Phone,Location 131,Category 55,Subcategory 120,Symptom 580,3 - Low,2 - Medium,3 - Moderate,Group 65,Resolver 4,True,Resolved by 3,2016-04-11 14:49:00
INC0000173,Awaiting User Info,1,0,True,Caller 64,Opened by  4,2016-02-29 10:36:00,Phone,Location 131,Category 55,Subcategory 120,Symptom 580,3 - Low,2 - Medium,3 - Moderate,Group 65,Resolver 4,True,Resolved by 3,2016-04-11 14:49:00
INC0000173,Resolved,1,0,True,Caller 64,Opened by  4,2016-02-29 10:36:00,Phone,Location 131,Category 55,Subcategory 120,Symptom 580,3 - Low,2 - Medium,3 - Moderate,Group 65,Resolver 4,True,Resolved by 3,2016-04-11 14:49:00
